rank,name,score,datetime
1,NA,36,2019-08-24 00:15:20
2,NA,32,2019-08-21 17:23:14
3,NA,31,2019-08-20 23:03:48
3,NA,31,2019-08-20 22:55:25
5,NA,29,2019-08-17 23:32:55
6,NA,28,2019-08-20 22:51:36
7,NA,27,2019-08-20 23:00:49
8,NA,26,2019-08-21 10:40:54
8,NA,26,2019-08-19 18:19:00
10,NA,24,2019-10-25 00:04:28
10,NA,24,2019-08-20 22:50:04
12,NA,23,2019-08-18 17:53:28
12,NA,23,2019-08-21 22:56:19
12,NA,23,2019-08-20 22:47:33
15,NA,21,2019-08-19 18:24:03
16,NA,20,2019-08-18 10:46:17
17,NA,19,2019-08-18 17:52:31
18,NA,18,2019-08-20 22:49:10
19,NA,16,2019-08-19 12:43:36
20,NA,15,2019-08-21 16:14:51
21,NA,14,2019-10-25 00:03:28
22,NA,13,2019-08-24 00:10:56
22,NA,13,2019-08-21 22:54:58
24,NA,12,2019-08-20 23:04:30
24,NA,12,2019-08-19 18:20:42
26,NA,10,2019-08-20 23:01:59
26,NA,10,2019-08-17 23:22:10
28,NA,9,2019-08-20 11:59:05
29,NA,8,2019-08-20 23:01:37
30,NA,7,2019-08-18 10:45:36
30,NA,7,2019-08-20 11:59:46
30,NA,7,2019-08-21 22:55:28
30,NA,7,2019-08-20 11:58:34
30,NA,7,2019-08-21 18:11:06
35,NA,6,2019-08-20 17:24:58
35,NA,6,2019-08-17 23:30:37
35,NA,6,2019-08-21 10:39:56
35,NA,6,2019-08-20 22:37:38
39,NA,5,2019-08-21 22:54:14
39,NA,5,2019-08-17 23:26:53
41,NA,4,2019-08-20 23:02:22
42,NA,3,2019-08-24 00:16:11
42,NA,3,2019-08-20 17:20:42
42,NA,3,2019-08-20 23:02:09
42,NA,3,2019-08-19 18:18:03
46,NA,2,2019-08-20 11:59:53
46,NA,2,2019-08-19 18:20:05
46,NA,2,2019-08-19 18:18:13
46,NA,2,2019-08-19 12:43:54
46,NA,2,2019-08-20 22:50:21
46,NA,2,2019-08-19 16:11:57
46,NA,2,2019-08-20 22:50:13
53,NA,1,2019-08-19 12:37:49
53,NA,1,2019-08-19 18:19:36
53,NA,1,2019-08-19 18:17:36
53,NA,1,2019-08-19 12:37:53
53,NA,1,2019-08-19 12:39:19
53,NA,1,2019-08-19 18:18:07
59,NA,0,2019-08-24 00:16:29
59,NA,0,2019-08-19 16:11:05
59,NA,0,2019-08-20 17:08:31
59,NA,0,2019-08-19 18:17:47
59,NA,0,2019-08-20 17:10:27
59,NA,0,2019-08-21 10:39:38
59,NA,0,2019-08-20 23:04:01
59,NA,0,2019-08-20 17:17:58
59,NA,0,2019-08-20 17:08:38
59,NA,0,2019-08-20 23:02:33
59,NA,0,2019-08-24 00:16:39
